Place,State,2011 (estimated)
New York,New York,8244910
Los Angeles,California,3819702
Chicago,Illinois,2707120
Houston,Texas,2145146
Philadelphia,Pennsylvania,1536471
Phoenix,Arizona,1469471
San Antonio,Texas,1359758
San Diego,California,1326179
Dallas,Texas,1223229
San Jose,California,967487
Jacksonville,Florida,827908
Indianapolis,Indiana,827609
Austin,Texas,820611
San Francisco,California,812826
Columbus,Ohio,797434
Fort Worth,Texas,758738
Charlotte,North Carolina,751087
Detroit,Michigan,706585
El Paso,Texas,665568
Memphis,Tennessee,652050
Boston,Massachusetts,625087
Seattle,Washington,620778
Denver,Colorado,619968
Baltimore,Maryland,619493
Washington,District of Columbia,617996
Nashville,Tennessee,609644
Louisville,Kentucky,602011
Milwaukee,Wisconsin,597867
Portland,Oregon,593820
Oklahoma City,Oklahoma,591967
Las Vegas,Nevada,589317
Albuquerque,New Mexico,552804
Tucson,Arizona,525796
Fresno,California,501362
Sacramento,California,472178
Long Beach,California,465576
Kansas City,Missouri,463202
Mesa,Arizona,446518
Virginia Beach,Virginia,442707
Atlanta,Georgia,432427
Colorado Springs,Colorado,426388
Raleigh,North Carolina,416468
Omaha,Nebraska,415068
Miami,Florida,408750
Tulsa,Oklahoma,396466
Oakland,California,395817
Cleveland,Ohio,393806
Minneapolis,Minnesota,387753
Wichita,Kansas,384445
Arlington,Texas,373698
New Orleans,Louisiana,360740
Bakersfield,California,352428
Tampa,Florida,346037
Anaheim,California,341361
Honolulu,Hawaii,340936
Aurora,Colorado,332354
Santa Ana,California,329427
St. Louis,Missouri,318069
Riverside,California,310651
Corpus Christi,Texas,307953
Pittsburgh,Pennsylvania,307484
Lexington,Kentucky,301569
Stockton,California,296357
Cincinnati,Ohio,296223
Anchorage municipality,Alaska,295570
St. Paul,Minnesota,288448
Toledo,Ohio,286038
Newark,New Jersey,277540
Greensboro,North Carolina,273425
Plano,Texas,269776
Lincoln,Nebraska,262341
Buffalo,New York,261025
Henderson,Nevada,260068
Fort Wayne,Indiana,255824
Jersey City,New Jersey,250323
Chula Vista,California,247535
St. Petersburg,Florida,244997
Orlando,Florida,243195
Norfolk,Virginia,242628
Laredo,Texas,241935
Chandler,Arizona,240101
Madison,Wisconsin,236901
Lubbock,Texas,233740
Durham,North Carolina,233252
Winston-Salem,North Carolina,232385
Garland,Texas,231517
Glendale,Arizona,230482
Baton Rouge,Louisiana,230139
Hialeah,Florida,229969
Reno,Nevada,227511
Chesapeake,Virginia,225050
Scottsdale,Arizona,221020
Irving,Texas,220702
North Las Vegas,Nevada,219020
Fremont,California,216916
Irvine,California,215529
San Bernardino,California,213012
Birmingham,Alabama,212413
Gilbert,Arizona,211951
Rochester,New York,210855
Boise City,Idaho,210145
Spokane,Washington,210103
Montgomery,Alabama,208182
Des Moines,Iowa,206599
Richmond,Virginia,205533
Fayetteville,North Carolina,203945
Modesto,California,202751
Shreveport,Louisiana,200975
Tacoma,Washington,200678
Oxnard,California,199943
Aurora,Illinois,199672
Fontana,California,199028
Akron,Ohio,198402
Moreno Valley,California,197838
Yonkers,New York,197399
Augusta,Georgia,196494
Little Rock,Arkansas,195314
Mobile,Alabama,194914
Columbus,Georgia,194107
Amarillo,Texas,193675
Glendale,California,193111
Huntington Beach,California,192888
Salt Lake City,Utah,189899
Grand Rapids,Michigan,189815
Tallahassee,Florida,182965
Huntsville,Alabama,182956
Worcester,Massachusetts,181631
Knoxville,Tennessee,180761
Newport News,Virginia,179611
Grand Prairie,Texas,179100
Brownsville,Texas,178430
Providence,Rhode Island,178053
Santa Clarita,California,177601
Overland Park,Kansas,176185
Jackson,Mississippi,175561
Garden Grove,California,173470
Chattanooga,Tennessee,170136
Oceanside,California,169569
Santa Rosa,California,169292
Fort Lauderdale,Florida,168528
Rancho Cucamonga,California,167721
Ontario,California,166390
Port St. Lucie,Florida,166149
Vancouver,Washington,164759
Tempe,Arizona,164268
Springfield,Missouri,160660
Lancaster,California,157693
Pembroke Pines,Florida,157594
Cape Coral,Florida,157476
Eugene,Oregon,156929
Peoria,Arizona,156637
Sioux Falls,South Dakota,156592
Salem,Oregon,156244
Corona,California,155896
Elk Grove,California,154908
Palmdale,California,153867
Springfield,Massachusetts,153155
Salinas,California,152994
Pasadena,Texas,152281
Rockford,Illinois,152222
Pomona,California,150119
Joliet,Illinois,148402
Fort Collins,Colorado,146762
Torrance,California,146493
Kansas City,Kansas,146453
Paterson,New Jersey,146427
Hayward,California,146069
Escondido,California,146032
Bridgeport,Connecticut,145638
Syracuse,New York,145151
Lakewood,Colorado,144406
Alexandria,Virginia,144301
Hollywood,Florida,143357
Naperville,Illinois,142773
Mesquite,Texas,142674
Sunnyvale,California,142287
Dayton,Ohio,142148
Cary,North Carolina,139633
Savannah,Georgia,139491
Orange,California,138409
Pasadena,California,138101
Fullerton,California,137183
Hampton,Virginia,136401
Clarksville,Tennessee,136231
McKinney,Texas,136067
Warren,Michigan,134243
McAllen,Texas,133742
West Valley City,Utah,131942
Columbia,South Carolina,130591
Killeen,Texas,130018
Sterling Heights,Michigan,129880
New Haven,Connecticut,129585
Topeka,Kansas,128188
Thousand Oaks,California,127984
Olathe,Kansas,127907
Cedar Rapids,Iowa,127905
Waco,Texas,126697
Visalia,California,126432
Elizabeth,New Jersey,125660
Simi Valley,California,125522
Gainesville,Florida,125326
Hartford,Connecticut,124867
Bellevue,Washington,124798
Miramar,Florida,124302
Concord,California,124055
Stamford,Connecticut,123868
Coral Springs,Florida,123338
Charleston,South Carolina,122689
Carrollton,Texas,122640
